timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,vision_attitude_timestamp_rel,vision_position_timestamp_rel
1398993059,32767,32767,32767,32767,32767,32767,-79,-79
1398997038,32767,32767,32767,32767,-58,32767,32767,32767
1399001038,32767,32767,32767,32767,32767,32767,32767,32767
1399005040,32767,32767,32767,32767,32767,32767,32767,32767
1399009038,32767,32767,32767,32767,32767,32767,32767,32767
1399013038,32767,-1,32767,-1,32767,-88,-90,-90
1399017040,32767,32767,32767,32767,32767,32767,32767,32767
1399021064,32767,32767,-57,32767,-64,32767,32767,32767
1399025038,32767,32767,32767,32767,32767,32767,32767,32767
1399029038,32767,32767,32767,32767,32767,32767,-58,-58
1399033038,32767,32767,32767,32767,-68,32767,32767,32767
1399037038,32767,32767,32767,32767,32767,-61,32767,32767
1399041039,32767,32767,32767,32767,32767,32767,32767,32767
1399045038,32767,32767,32767,32767,-60,32767,32767,32767
1399049060,32767,32767,32767,32767,32767,32767,-68,-68
1399053040,32767,32767,32767,32767,32767,32767,32767,32767
1399057038,32767,32767,32767,32767,32767,32767,32767,32767
1399061038,32767,32767,32767,32767,32767,-88,32767,32767
1399065038,32767,32767,32767,32767,32767,32767,32767,32767
1399069038,32767,32767,32767,32767,-68,32767,32767,32767
1399073038,32767,32767,32767,32767,32767,32767,32767,32767
1399077060,32767,32767,32767,32767,32767,32767,32767,32767
1399081038,32767,32767,32767,32767,-70,-60,32767,32767
1399085038,32767,32767,32767,32767,32767,32767,-84,-84
1399089038,32767,32767,32767,32767,-48,32767,32767,32767
1399093039,32767,32767,32767,32767,32767,32767,32767,32767
1401293038,32767,-19,32767,-19,32767,32767,32767,32767
1402190638,32767,32767,32767,32767,32767,32767,32767,32767
1402194640,32767,32767,32767,32767,32767,-61,32767,32767
1402198638,32767,32767,32767,32767,32767,32767,-74,-74
1402202642,32767,32767,32767,32767,32767,32767,32767,32767
1402206640,32767,32767,32767,32767,-69,32767,32767,32767
1402210639,32767,32767,32767,32767,32767,32767,32767,32767
1402214638,32767,32767,32767,32767,32767,32767,-53,-53
1402218638,32767,32767,-63,32767,-84,-62,32767,32767
1402222639,32767,-23,32767,-23,32767,32767,32767,32767
1402226638,32767,32767,32767,32767,32767,32767,32767,32767
1402230642,32767,32767,32767,32767,-67,32767,32767,32767
1402234638,32767,32767,32767,32767,32767,32767,-64,-64
1402238641,32767,32767,32767,32767,32767,32767,32767,32767
1402242638,32767,32767,32767,32767,32767,-55,32767,32767
1402246638,32767,32767,32767,32767,32767,32767,32767,32767
1402250638,32767,32767,32767,32767,32767,32767,32767,32767
1402254638,32767,32767,32767,32767,-84,32767,-67,-67
1402258638,32767,32767,32767,32767,32767,32767,32767,32767
1402262638,32767,32767,32767,32767,32767,32767,32767,32767
1402266639,32767,32767,32767,32767,-67,-58,32767,32767
1402270640,32767,32767,32767,32767,32767,32767,32767,32767
1402274639,32767,32767,32767,32767,32767,32767,32767,32767
1402278638,32767,32767,32767,32767,-69,32767,32767,32767
1402282638,32767,32767,32767,32767,32767,32767,32767,32767
1402286639,32767,32767,32767,32767,32767,32767,32767,32767
1402290640,32767,32767,32767,32767,32767,-57,-76,-76
1402294638,32767,32767,32767,32767,32767,32767,32767,32767
1402298638,32767,32767,32767,32767,32767,32767,32767,32767
1402302662,32767,32767,32767,32767,-70,32767,32767,32767
1402306638,32767,32767,32767,32767,32767,32767,-61,-61
1402310641,32767,32767,32767,32767,32767,32767,32767,32767
1402314638,32767,32767,32767,32767,-67,-58,32767,32767
1402318640,32767,32767,32767,32767,32767,32767,32767,32767
1402322639,32767,32767,32767,32767,32767,32767,32767,32767
1402326638,32767,-27,32767,-27,-72,32767,-64,-64
1402330638,32767,32767,32767,32767,32767,32767,32767,32767
1402334638,32767,32767,32767,32767,32767,32767,32767,32767
1402338638,32767,32767,32767,32767,32767,32767,32767,32767
1402342638,32767,32767,32767,32767,32767,-67,32767,32767
1402346639,32767,32767,32767,32767,32767,32767,-74,-74
1402350638,32767,32767,32767,32767,-70,32767,32767,32767
1402354641,32767,32767,32767,32767,32767,32767,32767,32767
1402358638,32767,32767,32767,32767,32767,32767,32767,32767
1402362638,32767,32767,32767,32767,-84,-60,32767,32767
1402366638,32767,32767,32767,32767,32767,32767,32767,32767
1402370638,32767,32767,32767,32767,32767,32767,32767,32767
1402374638,32767,32767,32767,32767,-84,32767,32767,32767
1402386639,32767,32767,32767,32767,32767,-55,32767,32767
1402390640,32767,32767,32767,32767,32767,32767,32767,32767
1402394638,32767,32767,32767,32767,32767,32767,32767,32767
1402398639,32767,32767,32767,32767,-84,32767,-59,-59
1402402638,32767,32767,32767,32767,32767,32767,32767,32767
1402406639,32767,32767,32767,32767,32767,32767,32767,32767
1402410638,32767,32767,32767,32767,-84,-55,32767,32767
1402414638,32767,32767,32767,32767,32767,32767,32767,32767
1402418638,32767,32767,-53,32767,32767,32767,-67,-67
1402422638,32767,32767,32767,32767,-70,32767,32767,32767
1402426647,32767,32767,32767,32767,32767,32767,32767,32767
1402430638,32767,-29,32767,-29,32767,32767,32767,32767
1402434638,32767,32767,32767,32767,32767,-53,-43,-43
1402438638,32767,32767,32767,32767,32767,32767,32767,32767
1402442638,32767,32767,32767,32767,32767,32767,32767,32767
1402446638,32767,32767,32767,32767,-64,32767,32767,32767
1402450638,32767,32767,32767,32767,32767,32767,32767,32767
1402454638,32767,32767,32767,32767,32767,32767,32767,32767
1402458638,32767,32767,32767,32767,-69,-59,32767,32767
1402462638,32767,32767,32767,32767,32767,32767,32767,32767
1402466638,32767,32767,32767,32767,32767,32767,32767,32767
1402470639,32767,32767,32767,32767,-84,32767,-54,-54
1402474641,32767,32767,32767,32767,32767,32767,32767,32767
1402478639,32767,32767,32767,32767,32767,32767,32767,32767
1402482639,32767,32767,32767,32767,32767,-84,32767,32767
1402486638,32767,32767,32767,32767,32767,32767,32767,32767
1402490638,32767,32767,32767,32767,-64,32767,-69,-69
1402494638,32767,32767,32767,32767,32767,32767,32767,32767
1402498638,32767,32767,32767,32767,32767,32767,32767,32767
1402502638,32767,32767,32767,32767,-70,32767,32767,32767
1402506638,32767,32767,32767,32767,32767,-83,32767,32767
1402510638,32767,32767,32767,32767,32767,32767,-72,-72
1402515439,32767,32767,32767,32767,-92,32767,32767,32767
1402519438,32767,32767,32767,32767,32767,32767,32767,32767
1402523438,32767,32767,32767,32767,32767,32767,32767,32767
1402527439,32767,32767,32767,32767,32767,-52,-57,-57
1402531439,32767,32767,32767,32767,32767,32767,32767,32767
1402535438,32767,-23,32767,-23,32767,32767,32767,32767
1402539441,32767,32767,32767,32767,-58,32767,32767,32767
1402543438,32767,32767,32767,32767,32767,32767,32767,32767
1402547440,32767,32767,32767,32767,32767,32767,32767,32767
1402551440,32767,32767,32767,32767,-62,-53,32767,32767
1402555438,32767,32767,32767,32767,32767,32767,32767,32767
1402559449,32767,32767,32767,32767,32767,32767,32767,32767
1402563438,32767,32767,32767,32767,-69,32767,-66,-66
1402567438,32767,32767,32767,32767,32767,32767,32767,32767
1402571438,32767,32767,32767,32767,32767,32767,32767,32767
1402575439,32767,32767,32767,32767,32767,-60,32767,32767
1402579438,32767,32767,32767,32767,32767,32767,32767,32767
