timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,fix_type,vel_ned_valid,satellites_used
1399015387,1550508338200117,0,0,-17000,0,168.41,3.1415925,4294967.5,3750334.2,99.99,99.99,100,91,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1401211295,1550508340400117,0,0,-17000,0,168.54001,3.1415925,4294967.5,3750336.0,99.99,99.99,100,94,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1402212331,1550508341400117,0,0,-17000,0,168.6,3.1415925,4294967.5,3750337.0,99.99,99.99,100,92,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1402413319,1550508341600117,0,0,-17000,0,168.61101,3.1415925,4294967.5,3750337.0,99.99,99.99,100,92,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1402613912,1550508341800117,0,0,-17000,0,168.623,3.1415925,4294967.5,3750337.2,99.99,99.99,100,92,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1402811321,1550508342000117,0,0,-17000,0,168.63501,3.1415925,4294967.5,3750337.2,99.99,99.99,100,92,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1403011319,1550508342200117,0,0,-17000,0,168.647,3.1415925,4294967.5,3750337.5,99.99,99.99,100,92,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1403211327,1550508342400117,0,0,-17000,0,168.65901,3.1415925,4294967.5,3750337.8,99.99,99.99,100,95,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1403412364,1550508342600117,0,0,-17000,0,168.671,3.1415925,4294967.5,3750337.8,99.99,99.99,100,95,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1403611390,1550508342800117,0,0,-17000,0,168.68301,3.1415925,4294967.5,3750338.0,99.99,99.99,100,95,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1403812371,1550508343000117,0,0,-17000,0,168.69402,3.1415925,4294967.5,3750338.2,99.99,99.99,100,95,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1404012347,1550508343200117,0,0,-17000,0,168.70601,3.1415925,4294967.5,3750338.2,99.99,99.99,100,95,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1404212344,1550508343400117,0,0,-17000,0,168.718,3.1415925,4294967.5,3750338.5,99.99,99.99,100,95,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1404412408,1550508343600117,0,0,-17000,0,168.73001,3.1415925,4294967.5,3750338.5,99.99,99.99,100,95,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1404811321,1550508344000117,0,0,-17000,0,168.75401,3.1415925,4294967.5,3750339.0,99.99,99.99,100,95,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1405011320,1550508344200117,0,0,-17000,0,168.766,3.1415925,4294967.5,3750339.0,99.99,99.99,100,95,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1405211323,1550508344400117,0,0,-17000,0,168.77701,3.1415925,4294967.5,3750339.2,99.99,99.99,100,92,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1405411315,1550508344600117,0,0,-17000,0,168.789,3.1415925,4294967.5,3750339.5,99.99,99.99,100,92,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1405611318,1550508344800117,0,0,-17000,0,168.80101,3.1415925,4294967.5,3750339.5,99.99,99.99,100,92,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1405811298,1550508345000117,0,0,-17000,0,168.813,3.1415925,4294967.5,3750339.8,99.99,99.99,100,92,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1406012319,1550508345200117,0,0,-17000,0,168.82501,3.1415925,4294967.5,3750339.8,99.99,99.99,100,92,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1406212400,1550508345400117,0,0,-17000,0,168.837,3.1415925,4294967.5,3750340.0,99.99,99.99,100,95,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1406411376,1550508345600117,0,0,-17000,0,168.848,3.1415925,4294967.5,3750340.2,99.99,99.99,100,95,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1406612322,1550508345800117,0,0,-17000,0,168.86,3.1415925,4294967.5,3750340.5,99.99,99.99,100,95,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1406810321,1550508346000117,0,0,-17000,0,168.87201,3.1415925,4294967.5,3750340.5,99.99,99.99,100,95,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1407011376,1550508346200117,0,0,-17000,0,168.884,3.1415925,4294967.5,3750340.8,99.99,99.99,100,95,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1407212899,1550508346400117,0,0,-17000,0,168.89601,3.1415925,4294967.5,3750340.8,99.99,99.99,100,99,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1407411297,1550508346600117,0,0,-17000,0,168.908,3.1415925,4294967.5,3750341.0,99.99,99.99,100,99,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1407613422,1550508346800117,0,0,-17000,0,168.92001,3.1415925,4294967.5,3750341.0,99.99,99.99,100,99,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1407811318,1550508347000117,0,0,-17000,0,168.93102,3.1415925,4294967.5,3750341.2,99.99,99.99,100,99,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1408011326,1550508347200117,0,0,-17000,0,168.94301,3.1415925,4294967.5,3750341.5,99.99,99.99,100,99,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1408212316,1550508347400117,0,0,-17000,0,168.955,3.1415925,4294967.5,3750341.5,99.99,99.99,100,90,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1408413296,1550508347589133,561458100,142093300,14673398,14709750,121.937004,3.1415925,4294967.5,3751101.5,99.99,99.99,100,90,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1408612486,1550508347789206,560876087,160237654,14656035,14689579,122.976006,3.1415925,4294967.5,3751106.5,99.99,99.99,100,90,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1408825322,1550508348000206,561070116,154996835,14661957,14696306,122.686005,3.1415925,4294967.5,3751105.5,99.99,99.99,100,90,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1409025321,1550508348200206,561068147,155018455,14661892,14696237,122.704,3.1415925,4294967.5,3751106.0,99.99,99.99,100,90,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1409225322,1550508348400133,561451393,142180151,14673178,14709518,122.01,3.1415925,4294967.5,3751103.2,99.99,99.99,100,92,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1409423298,1550508348600133,561449716,142201852,14673123,14709460,122.02801,3.1415925,4294967.5,3751104.2,99.99,99.99,100,92,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1409622324,1550508348800133,561639125,133174208,14678264,14716021,121.58401,3.1415925,4294967.5,3751102.5,99.99,99.99,100,92,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1409823321,1550508349000133,561637651,133195969,14678217,14715970,121.601006,3.1415925,4294967.5,3751103.0,99.99,99.99,100,92,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1410026735,1550508349200066,561774676,122794130,14681311,14720715,121.129005,3.1415925,4294967.5,3751101.0,99.99,99.99,100,92,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1410223389,1550508349400066,561773439,122815931,14681272,14720672,121.146,3.1415925,4294967.5,3751101.5,99.99,99.99,100,89,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1410424552,1550508349600066,561772202,122837740,14681232,14720630,121.16401,3.1415925,4294967.5,3751102.2,99.99,99.99,100,89,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1410624325,1550508349800016,561811466,106238062,14679934,14721989,120.495,3.1415925,4294967.5,3751099.0,99.99,99.99,100,89,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1410824465,1550508350000016,561810608,106259915,14679908,14721959,120.51301,3.1415925,4294967.5,3751099.5,99.99,99.99,100,89,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1411022397,1550508350200067,561768485,122903160,14681114,14720501,121.217,3.1415925,4294967.5,3751104.0,99.99,99.99,100,89,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1411224402,1550508350400176,561132623,152750326,14663775,14698472,122.755005,3.1415925,4294967.5,3751111.2,99.99,99.99,100,95,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1411425421,1550508350600176,560925044,158526580,14657468,14691276,123.106,3.1415925,4294967.5,3751113.5,99.99,99.99,100,95,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1411624340,1550508350800260,560325844,172215572,14638761,14670494,123.965004,3.1415925,4294967.5,3751117.5,99.99,99.99,100,95,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1411825323,1550508351000260,560323481,172237047,14638682,14670412,123.98301,3.1415925,4294967.5,3751118.0,99.99,99.99,100,95,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1412023322,1550508351200200,560918884,158591356,14657264,14691063,123.159004,3.1415925,4294967.5,3751115.0,99.99,99.99,100,95,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1412223327,1550508351400200,561123010,152858513,14663458,14698139,122.843,3.1415925,4294967.5,3751114.2,99.99,99.99,100,93,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1412424318,1550508351600200,561121085,152880146,14663394,14698072,122.86101,3.1415925,4294967.5,3751114.8,99.99,99.99,100,93,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1412623320,1550508351800200,560912719,158656114,14657059,14690849,123.212006,3.1415925,4294967.5,3751117.0,99.99,99.99,100,93,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1412825384,1550508352000200,560910663,158677701,14656991,14690778,123.23,3.1415925,4294967.5,3751117.2,99.99,99.99,100,93,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1413025314,1550508352200165,561215699,149838405,14666202,14701351,122.739006,3.1415925,4294967.5,3751115.5,99.99,99.99,100,93,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1413224611,1550508352400165,561000362,156203269,14659721,14693888,123.118004,3.1415925,4294967.5,3751117.5,99.99,99.99,100,92,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1413424345,1550508352600165,561211985,149881711,14666079,14701223,122.774,3.1415925,4294967.5,3751117.0,99.99,99.99,100,92,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1413624392,1550508352800086,561694756,128186819,14679399,14717948,121.676,3.1415925,4294967.5,3751112.0,99.99,99.99,100,92,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1413823296,1550508353000019,561797637,106587787,14679510,14721510,120.77601,3.1415925,4294967.5,3751107.8,99.99,99.99,100,92,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1414023366,1550508353200019,561806059,111103070,14680527,14721802,120.968,3.1415925,4294967.5,3751109.2,99.99,99.99,100,92,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1414225619,1550508353400019,561805085,111124915,14680496,14721768,120.98501,3.1415925,4294967.5,3751109.8,99.99,99.99,100,95,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1414425651,1550508353600070,561747294,123273866,14680437,14719767,121.51601,3.1415925,4294967.5,3751113.0,99.99,99.99,100,95,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1414624381,1550508353800070,561746041,123295676,14680397,14719724,121.534004,3.1415925,4294967.5,3751113.8,99.99,99.99,100,95,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1414824467,1550508354000070,561744787,123317480,14680357,14719680,121.551,3.1415925,4294967.5,3751114.2,99.99,99.99,100,95,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1415024342,1550508354200020,561792402,106718921,14679350,14721329,120.881004,3.1415925,4294967.5,3751110.5,99.99,99.99,100,95,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1415224343,1550508354400020,561791527,106740772,14679323,14721299,120.899,3.1415925,4294967.5,3751111.5,99.99,99.99,100,88,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1415425908,1550508354600020,561790652,106762627,14679296,14721268,120.91601,3.1415925,4294967.5,3751112.0,99.99,99.99,100,88,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1415625296,1550508354800020,561767536,102642762,14677833,14720468,120.781006,3.1415925,4294967.5,3751111.5,99.99,99.99,100,88,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1415823318,1550508355000020,561766753,102664625,14677809,14720441,120.798004,3.1415925,4294967.5,3751111.8,99.99,99.99,100,88,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1416023364,1550508355200020,561765970,102686488,14677786,14720414,120.81601,3.1415925,4294967.5,3751112.8,99.99,99.99,100,88,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1416223361,1550508355400020,561765186,102708350,14677762,14720387,120.83301,3.1415925,4294967.5,3751113.5,99.99,99.99,100,95,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1416423320,1550508355600020,561786262,106871902,14679161,14721116,121.003006,3.1415925,4294967.5,3751114.8,99.99,99.99,100,95,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1416624965,1550508355800020,561785382,106893756,14679134,14721086,121.021,3.1415925,4294967.5,3751115.2,99.99,99.99,100,95,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1416824361,1550508356000020,561784501,106915611,14679107,14721055,121.038,3.1415925,4294967.5,3751116.0,99.99,99.99,100,95,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1417023321,1550508356200020,561783619,106937465,14679080,14721025,121.05601,3.1415925,4294967.5,3751116.2,99.99,99.99,100,95,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1417225315,1550508356400020,561782737,106959319,14679053,14720994,121.073006,3.1415925,4294967.5,3751117.0,99.99,99.99,100,97,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1417425312,1550508356600020,561760468,102839524,14677619,14720223,120.938,3.1415925,4294967.5,3751116.8,99.99,99.99,100,97,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1417624405,1550508356800020,561759679,102861385,14677595,14720196,120.95501,3.1415925,4294967.5,3751117.2,99.99,99.99,100,97,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1417824429,1550508357000020,561759679,102861385,14677595,14720196,120.97201,3.1415925,4294967.5,3751117.8,99.99,99.99,100,97,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1418024446,1550508357200020,561759679,102861385,14677595,14720196,120.98801,3.1415925,4294967.5,3751118.5,99.99,99.99,100,97,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1418223320,1550508357400020,561759679,102861385,14677595,14720196,121.005005,3.1415925,4294967.5,3751118.8,99.99,99.99,100,95,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1418423296,1550508357600020,561759679,102861385,14677595,14720196,121.022,3.1415925,4294967.5,3751119.5,99.99,99.99,100,95,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1418625565,1550508357800020,561755723,102970692,14677476,14720059,121.04301,3.1415925,4294967.5,3751120.0,99.99,99.99,100,95,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1418825387,1550508358000020,561754930,102992553,14677451,14720031,121.060005,3.1415925,4294967.5,3751120.2,99.99,99.99,100,95,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1419024393,1550508358200020,561754136,103014414,14677427,14720004,121.077,3.1415925,4294967.5,3751120.8,99.99,99.99,100,95,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1419224364,1550508358400020,561753341,103036275,14677403,14719976,121.09501,3.1415925,4294967.5,3751121.5,99.99,99.99,100,74,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1419427513,1550508358600059,561754058,119194859,14680018,14720001,121.75101,3.1415925,4294967.5,3751125.8,99.99,99.99,100,74,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1419625314,1550508358800059,561714474,123840718,14679388,14718630,121.97201,3.1415925,4294967.5,3751127.2,99.99,99.99,100,74,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1419825527,1550508359000128,561459260,139308229,14672993,14709791,122.73401,3.1415925,4294967.5,3751131.2,99.99,99.99,100,74,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1420025324,1550508359200240,560513906,167092248,14644505,14677019,124.326004,3.1415925,4294967.5,3751139.0,99.99,99.99,100,74,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1420223322,1550508359400240,560191983,173764363,14634337,14665849,124.76301,3.1415925,4294967.5,3751141.2,99.99,99.99,100,75,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1420423367,1550508359600240,560189576,173785807,14634257,14665765,124.78001,3.1415925,4294967.5,3751141.8,99.99,99.99,100,75,0.0,0.0,0.0,0.0,0.0,0,0,0,0
