Datum,Start,Einde,Plaats,Omschrijving,Issue #,Opmerkingen
12/02/19,08:30,12:00,Campus,Uitlegsessie BP + begin vragen opstellen,,
13/02/19,08:15,10:15,Campus,Communicatieles 1,,
13/02/19,13:30,16:00,Campus,Gesprek met de klant,4,
16/02/19,13:00,16:00,Extern,Research node.js + Express + MQTT + Algoritme van Dijkstra ,12,
18/02/19,13:30,16:45,Extern,Research node.js + implementatie algoritme van Dijkstra in javascript (basis),16,
19/02/19,08:15,12:30,Campus,Algoritme van Dijkstra aanpassen voor meerdere waypoints,16,
20/02/19,08:15,10:15,Campus,Communicatieles 2,,
19/02/19,10:00,12:00,Extern,Bug die een foute afstand toont voor meerdere waypoints oplossen + research node.js,16,
21/02/19,13:30,17:00,Campus,PriorityQueue toevoegen aan het algoritme van Dijkstra om het sneller te maken + research node.js,16,
23/02/19,10:00,12:00,Extern,PriorityQueue toevoegen aan het algoritme van Dijkstra om het sneller te maken + research node.js,16,
25/02/19,14:00,17:00,Extern,methode om makkelijk een graaf van grootte XY te maken + functie omzetten JSON map naar graaf + functie omzetten JSON waypoints naar graaf waypoints + research node.js,16,
26/02/19,08:15,12:15,Campus,dijkstra klasse + communicatie met de centrale server,16,
28/02/19,10:30,12:00,Extern,communicatie met de centrale server en de database Dijkstra,16,
28/02/19,13:30,17:45,Campus,communicatie met de centrale server en de database Dijkstra,16,
03/03/19,09:30,10:30,Extern,laatste correcties voor de communicatie met de Dijkstra module,16,
04/03/19,15:30,16:45,Extern,Research node-red,,
07/03/19,13:30,17:45,Campus,Dijkstra wiki + unit test dijkstra,,
09/03/19,10:00,12:00,Extern,Dijkstra wiki + unit test dijkstra + toestandsdiagram,,
