Datum,Start,Einde,Plaats,Omschrijving,Issue #,Opmerkingen
12/02/19,08:30,12:30,Campus,uitlegsessie BP,,
13/02/19,08:15,10:15,Campus,communicatieles 1,,
14/02/19,13:30,16:00,Campus,eerste gesprek met klant,,
16/02/19,13:00,14:40,Extern,samenstellen en uit typen van het verslag van het eerste geprek met de klant,,
18/02/19,13:20,16:00,Extern,bijleren over MongoDB en MQTT,,
19/02/19,08:15,12:30,Campus,teambespreking + bijleren over MongoDB,,
19/02/19,19:00,22:40,Extern,oefenen met MongoDB,,
20/02/19,08:15,12:30,Campus,communicatieles 2,,
21/02/19,13:30,17:45,Campus,starten met node.js en mongoose,,
23/02/19,12:00,13:30,Extern,rest api maken met node.js,,
23/02/19,14:00,18:00,Extern,verder werken aan rest api en mongoDB toevoegen met mongoose,,
25/02/19,20:20,21:20,Extern,wiki pagina gemaakt over hoe MongoDB te installeren,,
26/02/19,08:15,12:30,Campus,html pagina gemaakt om snel database te kunnen testen,,
28/02/19,13:30,17:45,Campus,rest api nakkijken en mqtt onderzoeken,,
01/03/19,15:00,17:30,Extern,experimenteren met node red en mqtt,,
02/03/19,12:00,14:00,Extern,verder experimenteren met node red en mqtt,,
03/03/19,14:00,17:00,Extern,antwoorden van de rest api verbeteren en verder leren mqtt,,
04/03/19,11:30,17:30,Extern,user authentication toevoegen aan het product,,
05/03/19,08:18,12:45,Campus,mosquitto bekijken,,
07/03/19,13:30,17:45,Campus,documentatie voorzien,,
09/03/19,14:00,17:00,Extern,problemen op mijn computer oplossen en powerpoint maken voor presentatie,,
09/03/19,19:00,20:10,Extern,presentatie van donderdag voorbereid,,
10/03/19,09:00,12:30,Extern,begonnen met verslag te schrijven voor sprint 1+ kijken van tutorial over ssh en docker,,
12/03/19,08:15,12:30,Campus,presentatie voorbereid,,
13/03/19,19:00,21:00,Extern,presentatie voorbereid documentatie na kijken en nadenken over backlog sprint 2,,
14/03/19,13:30,17:45,Campus,presentatie geven bespreking sprint 2 takenverdeling,,
16/03/19,20:30,21:10,Extern,begonnen met mockup drone in python,,
16/03/19,23:40,24:00,Extern,verder werken aan de mockup voor de drone een vlucht proberen simuleren,,
17/03/19,00:00,00:25,Extern,verder werken aan de mockup voor de drone een vlucht proberen simuleren,,
19/03/19,08:15,12:30,Campus,mockup drone data kunnen aanpassen,,
