Datum,Start,Einde,Plaats,Omschrijving,Issue #,Opmerkingen
12/02/19,08:15,12:15,Campus,Uitlegsessie VOP,,
13/02/19,08:15,10:15,Campus, De redenaar - Hoe een verslag schrijven,,
13/02/19,19:00,21:00,Extern,Nadenken over project: Voorbereiden gesprek klant - Vragen bedenken,,
14/02/19,13:30,16:30,Campus,Gesprek met de klant - Backlog opstellen - Bespreken project,,
15/02/19,20:00,21:00,Extern,Opzoeken info over MQTT - structuur project ,,
17/02/19,16:00,18:00,Extern,Nadenken over wat er moet opgeslagen worden in databases - welke technologie gebruiken,, 
19/02/19,08:00,12:30,Campus, Samen aan project werken - bespreken - zelf: backend api opstellen via klassediagram,,
19/02/19,15:00,18:00,Extern, Node en express bekijken en herhalen,,
20/02/19,08:15,10:15,Campus, De redenaar - Hoe presenteren,,
21/02/19,13:30,17:45,Campus, Met groep samen werken - zelf: opgezocht over express,,
23/02/19,12:00,17:00,Extern, Express leren en begin centrale server schrijven - map.js en db-module beginnen schrijven - configuratie express wijzigen,,
24/02/19,12:00,16:00,Extern, de maps router en de db module refractoren - db module uitgebreid - db module mockup gemaakt - testen maps router via postman: werkt,,
26/02/19,13:30,17:45,Campus, samen verder werken: zelf: flightpath module geschreven en flow van code verbeterd,,
27/02/19,16:00,18:00,Campus, MQTT package opgezocht en mee geexperimenteerd voor morgen goed op weg te kunnen,,
28/02/19,13:30,17:45,Campus, samen verder werken: zelf: mergen van de product router/db en node red bekijken,,
01/03/19,20:00,23:59,Extern, dbmodule volledig verder uitgeschreven zodat deze ook werkt met de databank - grondig testen wat de meeste tijd op slokte door foutjes,,
02/03/19,00:01,00:30,Extern, zie hierboven,,
04/03/19,16:00,19:00,Extern, In de code grasduinen  + Node red bekijekn + testen om alle aanpassingen bij te leren - modules database en aanvragen op mijn beide computers laten werken zodat ik makkelijk van station kan wisselen,,
05/03/19,08:15,12:30,Campus, Samen werken aan project - vooral testen en debuggen van enkele aanvragen + het dijkstra algoritme (pair programming),,
05/03/19,15:30,19:30,Extern, Dijkstra begrijpen ipv erop zitten staren deze voormiddag + Node red verder bekijken + github readme's en wiki's aanpassen,,
07/03/19,13:30,17:45,Campus, Verder werken aan project - debuggen voornamelijk - kijken naar documentatie genereren + testen,,
09/03/19,13:00,17:45,Extern, Swagger inspector opzoeken en gebruiken - oops something went wrong bij versturen - geen idee hoe dat te fixen valt naast wachten en hopen - bugfix aan PUT,,
10/03/19,16:00,17:45,Extern, Nogmaals testen van swagger maar werkt nog steeds niet wat ik ook doe = wrs ligt het probleem bij de server zelf,,
11/03/19,19:00,20:00,Extern, Bekijken Mochajs en Chai als testbibliotheken,,
12/03/19,08:15,12:30,Campus, Samen werken - schema gemaakt en voor de rest vergeten wat ik precies deed,,
12/03/19,15:00,16:00,Extern, Werken aan documentatie voor einde sprint 1,,
13/03/19,20:00,22:00,Extern, Einde sprint 1 afwerken - checks voor documentatie,,
14/03/19,12:30,17:45,Campus, Afronding sprint 1 - bespreken met klant en team,,
17/03/19,15:00,19:00,Extern, Meer node red videos en documentatie voor morgen met Jochen ofzo node red te implementeren in project,,
18/03/19,18:00,19:00,Extern, Gewoon even nog wat meer kijken,,
19/03/19,08:15,12:30,Campus, PRUTSEN MET NODE RED MET JOCHEN - 3+u zitten zoeken waarom het niet werkt - dan nog mini aanpassingen samen doen,,
21/03/19,13:30,17:45,Campus, node red leren gebruiken - websockets zitten uitvissen in node red - flow van mqtt client naar broker naar subscriber naar websocket,,
22/03/19,12:00,13:00,Extern, zelf thuis alles opstellen voor volledige node red communicatie te testen met drone,,
23/03/19,15:00,20:00,Extern, nodered mqtt flows met websocket voor project gemaakt en getest met drone en (geprobeerd met) front end website - later mongodb bug opgelost en al aan die flows begonnen - al veel bugs van node red zelf opgelost maar nog veel te gaan,,
25/03/19,16:00,18:00,Extern, flows aangepast ivm versturen van data van topics naar de front end,,
26/03/19,08:15,12:30,Campus, op campus werken - flow gemaakt ivm van frontend subscriben op topics,,
28/03/19,13:30,16:00,Campus, op campus werken - nieuwe implementatie besproken over welke data er in maps moet zitten voor aster,,
30/03/19,11:45,14:00,Campus, opendeurdag,,
31/03/19,15:30,19:00,Extern, gans de structuur van maps en express aangepast en getest met postman en node red flow wat aangepast,,
31/03/19,20:00,20:30,Extern, bugfix bij het updaten van mappen,,
02/04/19,08:50,12:30,Extern, Bezoek aan de technologiecampus in Zwijnaarde,,
04/04/19,13:30,17:45,Campus, op campus werken - bugfix weer uitvoeren + mergen bestanden want eerdere bugfix omdat de frontend met de andere file werkte - dronedb geschreven - mapjson aangepast voor demo,,
07/04/19,15:45,19:45,Extern, frontend leren en proberen ervoor zorgen dat ja op data kan subscriben vanuit de frontend ipv dat steeds in node red te doen - ZEER veel tijd verspild aan een stomme bug,,
07/04/19,22:20,23:59,Extern, comboboxen toegevoegd die voor makkelijk te subscriben op topics vanuit frontend - wat met css geprutst zonder veel resultaat,,
10/04/19,00:30,02:30,Extern, piekeren over wat er zeker nog moet gebeuren en hoe compatibel het is met het huidig project,,
10/04/19,11:00,12:00,Extern, standup over discord + project wat bekijken en testen erna,,
11/04/19,19:00,21:10,Extern, node red van project gescheiden en testen op performantiewinst - meer testen nodig hoe performant de flows zelf zijn zo tov geembedded,,
12/04/19,10:00,12:15,Campus, op campus verder testen van performatie - mockup voor mezelf aangepast - ontdekt dat het probleem niet echt ligt aan geembedded zijn maar aan de broker zelf die dat naar node red moet versturen,,
12/04/19,19:00,20:00,Extern, mosquitto wat opgezocht gewoon en gekeken voor mss eens een alternatief te testen,,
13/04/19,13:30,16:30,Extern, frontend droneconfiguratie aangepast - wordt nu uit de db van de backend gehaald en weer opgeslagen - vermijdt dat we steeds in node red bij opstart nog iets manueels steeds moesten doen,,
