Datum,Start,Einde,Plaats,Omschrijving,Issue #,Opmerkingen
12/02/19,08:15,12:15,Campus,Uitlegsessie VOP,,
12/02/19,19:23,19:54,Extern,Brainstormen hoe ons project er zou kunnen uitzien - vragen opstellen,,
13/02/19,08:15,10:15,Campus,Communicatieles 1,,
14/02/19,13:30,16:00,Campus,Gesprek klant - User Stories aan product backlog toevoegen,,
15/02/19,18:52,...,Extern,opzoekingswerk verrichten - mqtt begrijpen,,


19/02/19,19:10,20:35,Extern,Voorbereiden gesprek klant,,
20/02/19,08:15,12:30,Campus,Gesprek met de klant - Backlog opstellen - Research TICK, 4,
20/02/19,19:10,20:05,Extern,Research Telegraf Plugin in Go, 10,
